form,eng_trans,status,item,meaning,old_foil,goodone,done,notes
amai,SWEET,iconic,trial,SWEET,utyua|usua|usyua,TRUE,NA,NA
futoi,THICK,iconic,trial,THICK|FAT,rihea|giwea|niyea,TRUE,NA,NA
komaka,THIN,iconic,trial,THIN|SLENDER,netyunu|zesuzu|resyuru,TRUE,NA,NA
zukizuki,THROBBING,iconic,trial,THROBBING|PULSATING,gina|kyiza|kira,TRUE,NA,NA
zuNzuN,THROBBING,iconic,trial,THROBBING|PULSATING,giQ|kyiQ|kiQ,TRUE,NA,NA
kibui,TIGHT,iconic,trial,TIGHT|PINCHING,natyia|zahia|rasyia,TRUE,NA,NA
pityipityi,TIGHT,iconic,trial,TIGHT|PINCHING,syawa|waya|yaga,TRUE,NA,NA
tyiisoo,TIGHT,iconic,trial,TIGHT|PINCHING,wake|yame|gage,TRUE,NA,NA
hirihiri,TINGLING,iconic,trial,BURNING|TINGLING,naha|dzakya|zyaka,TRUE,NA,NA
nukui,WARM,iconic,trial,WARM,syinia|kizia|hiria,TRUE,NA,NA
pokapoka,WARM,iconic,trial,WARM,syenu|wezu|yeru,TRUE,NA,NA
usui,WEAK,iconic,trial,BLAND (taste)|TASTELESS|WATERY (taste),ikia|imia|igia,TRUE,NA,NA
nureru,WET,iconic,trial,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki,TRUE,NA,NA
syimeQpoi,WET,iconic,trial,WET|SOGGY|DAMP,ratyosyea|nasowea|masyoyea,TRUE,NA,NA
syiQketoru,WET,iconic,trial,WET|SOGGY|DAMP,ranohehi|nazowekyi|maroyeki,TRUE,NA,NA
syitosyito,WET,iconic,trial,WET|SOGGY|DAMP,rahe|nawe|maye,TRUE,NA,NA
ookii,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,ena|eza|era,TRUE,NA,NA
sukosyi,A LITTLE,prosaic,trial,A LITTLE|SLIGHTLY,kinera|mizena|girema,TRUE,NA,NA
iratyimonai,ANNOYED/IMPATIENT,prosaic,trial,ANNOYED|IMPATIENT,NA,TRUE,NA,NA
kubiru,BIND,prosaic,trial,BIND|TIGHTEN,nityahi|zihakyi|risyaki,TRUE,NA,NA
kukuru,BIND,prosaic,trial,BIND|TIGHTEN,ninihi|zizikyi|ririki,TRUE,NA,NA
syibaru,BIND,prosaic,trial,BIND|TIGHTEN,ratyuhi|nahukyi|masyuki,TRUE,NA,NA
kamu,CHEW,prosaic,trial,CHEW,nutyi|zusi|rusyi,TRUE,NA,NA
