concept,form,item,meaning,iconic,foils
HUMID,omoreru,trial,HUMID|MUGGY,n,etyehohi|esekyokyi|esyekoki
EXHAUSTED,dareta,trial,WORN OUT|TIRED|WEARY|EXHAUSTED,n,wuhohu|yukyowu|hukoyu
WEAK,mizukusai,trial,BLAND (taste)|TASTELESS|WATERY (taste),n,tyaginikua|sakyizimua|syakirigua
DRY,kawaku,trial,DRY|PARCHED,n,nuzyuni|zutyuzi|rutsuri
STICKY,netyanetya,trial,STICKY|GOOEY,y,syowu|koyu|hogu
SLUGGISH,kitsuka,trial,SLUGGISH|LETHARGIC,n,nahinu|zawizu|rayiru
ITCHING,tyikutyiku,trial,ITCHING|PRICKLING,y,wani|yazi|gari
COOL,hiyaQkoi,trial,COOL|FRESH,y,natunea|dzatyuzea|zyatsurea
SUCK,suu,trial,SUCK,y,ki|mi|gi
BLOW,fuku,trial,BLOW|PUFF,y,rini|gizi|niri
TEAR,saku,trial,TEAR|RIP,y,kuni|muzi|guri
SLOW,osoi,trial,SLOW,y,ekea|emea|egea
RINGING,kiiN,trial,RINGING (e.g. a ringing sound in your ears),y,naQ|zaQ|raQ
ANNOYED/IMPATIENT,izyiizyi,trial,ANNOYED|IMPATIENT,y,ama|awa|aha
GLARING (OVERLY BRIGHT),mabusyii,trial,GLARING (light)|BLINDING (light)|DAZZLING,y,tyutyira|suhina|syusyima
NOISY,yakamasyii,trial,LOUD|NOISY,y,tunutyura|tyuzusuna|tsurusyuma
BIG,deQkai,trial,BIG|MASSIVE|LARGE|HUGE,y,wonua|yozua|horua
CLEAN,saQpari,trial,CLEAN|TIDY,y,kusyuha|muwukya|guyuka
SCRATCH,kaku,trial,SCRATCH,n,nuni|zuzi|ruri
SAD,kanasyii,trial,SAD|GLUM,n,nusyura|zukuna|ruhuma
ANNOYED/IMPATIENT,modokasyii,trial,ANNOYED|IMPATIENT,n,tyewenura|seyezuna|syeheruma
SAD,tsurai,trial,SAD|GLUM,n,hihua|wikyua|yikua
DARK,akaanakaQta,trial,DARK|DIM,n,unusyunuhu|uzukuzuwu|uruhuruyu
LIVELY (ENERGETIC),geNki,trial,LIVELY|ENERGETIC,n,roQna|soQza|tyoQra
COARSE,deQkai,trial,ROUGH|GRITTY|COARSE,n,wonua|yozua|horua
EMPTY,kara,trial,EMPTY,n,nuhu|zukyu|ruku
ITCHING,hasyikai,trial,ITCHING|PRICKLING,n,nuranua|dzunazua|zyumarua
ACRID (TASTE),nigai,trial,ACRID (taste)|BITTER (taste),y,syarua|kasua|hatyua
