form,eng_trans,iconic,item,meaning,old_foil,goodone,done,notes,foils
syiNdo,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,raQwe|naQye|maQhe,TRUE,NA,NA,waQye|pyaQwe|yuQhe
hayai,FAST,y,trial,FAST|QUICK|SPEEDY,nutua|dzutyua|zyutsua,TRUE,NA,NA,pyiQtia|ritia|nuQduu
syimiru,FREEZE,y,trial,FREEZE,ratyahi|nasakyi|masyaki,TRUE,NA,NA,yuhaQpa|wuwakya|pyarupyi
katyikatyi,HARD,y,trial,HARD,nuwa|zuya|ruga,TRUE,NA,NA,wiya|rira|nuwu
omoi,HEAVY,y,trial,HEAVY,etyea|esea|esyea,TRUE,NA,NA,ereu|eweu|ehea
atsui,HOT,y,trial,HOT,uhia|uwia|uyia,TRUE,NA,NA,uwia|upyia|iyau
nuQka,HOT,y,trial,HOT,syinu|kizu|hiru,TRUE,NA,NA,pyini|yiwi|waru
hotoru,HUMID,y,trial,HUMID|MUGGY,nehehi|dzewekyi|zyeyeki,TRUE,NA,NA,pyeyeki|weweQki|nemeQpa
zyitozyito,HUMID,y,trial,HUMID|MUGGY,mahe|wawe|haye,TRUE,NA,NA,ruwe|yuye|wame
syikasyika,ITCHING,y,trial,ITCHING|PRICKLING,ranu|nazu|maru,TRUE,NA,NA,pyuri|yuni|wawu
nagai,LONG,y,trial,LONG,syurua|kusua|hutyua,TRUE,NA,NA,yiruu|wiwuu|pyuhia
nurui,LUKEWARM,y,trial,LUKEWARM,syihia|kikyia|hikia,TRUE,NA,NA,yakyiu|pyaQkiu|wikaa
ookii,NOISY,y,trial,LOUD|NOISY,ena|eza|era,TRUE,NA,NA,enu|eru|ewa
urusai,NOISY,y,trial,LOUD|NOISY,ihikua|ikyimua|ikigua,TRUE,NA,NA,apyiyiu|aQgipyiu|ikyawua
zyukuzyuku,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mini|wizi|hiri,TRUE,NA,NA,yari|wani|riwa
zyuruzyuru,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mihi|wikyi|hiki,TRUE,NA,NA,wiQka|yikya|rapyi
bakubaku,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),tyuni|huzi|syuri,TRUE,NA,NA,yuni|wuwi|rira
dokidoki,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),wena|yeza|hera,TRUE,NA,NA,hewa|wera|yenu
toNtoN,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),heQ|weQ|yeQ,TRUE,NA,NA,meQ|weQ|yeQ
hirihiri,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,naha|dzakya|zyaka,TRUE,NA,NA,waka|naQka|pyuQgu
tyikatyika,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,wanu|yazu|garu,TRUE,NA,NA,ruru|wuwu|yani
syiiN,QUIET,y,trial,QUIET,raQ|naQ|maQ,TRUE,NA,NA,yuQ|pyuQ|waQ
tataku,RAP (AT THE DOOR),y,trial,RAP (at the door)|KNOCK (at the door),huhuni|wuwuzi|yuyuri,TRUE,NA,NA,yimiwi|miyiri|wuwuna
zaQkuzaQku,ROUGH,y,trial,ROUGH|GRITTY|COARSE,guni|kyuzi|kuri,TRUE,NA,NA,pyina|yiwa|wuri
zyarizyari,ROUGH,y,trial,ROUGH|GRITTY|COARSE,muha|wukya|huka,TRUE,NA,NA,riQpa|wikya|yuQgu
zyasyizyasyi,ROUGH,y,trial,ROUGH|GRITTY|COARSE,mura|wuna|huma,TRUE,NA,NA,yiyu|wipyu|ruwa
marui,ROUND,y,trial,ROUND|CIRCULAR,tyuhia|sukyia|syukia,TRUE,NA,NA,wuQgau|hukyau|ripyia
adzu,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,uwi|uyi|uhi,TRUE,NA,NA,uwi|uyi|ipya
atsukamasyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,uhinutyura|uwizusuna|uyirusyuma,TRUE,NA,NA,iwiwirupya|ipyiniyuya|uyaruhiwu
zuuzuusyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima,TRUE,NA,NA,wipyawu|pyiwayu|yayipya
samisyii,SAD,y,trial,SAD|GLUM,kutyara|musana|gusyama,TRUE,NA,NA,wurawu|yuwayu|pyihupya
kowa,SCARY,y,trial,SCARY|FRIGHTENING,nezyu|zetyu|retsu,TRUE,NA,NA,weQtu|neQdu|retyi
zyizyimusai,SHABBY,y,trial,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua,TRUE,NA,NA,wayayayiu|yawawawiu|ruruhipyua
buruburu,SHAKING,y,trial,SHAKING|TREMBLING,tyihi|hikyi|syiki,TRUE,NA,NA,ripya|wiQga|yaQpi
