form,eng_trans,status,item,meaning,old_foil,goodone,done,notes,foil
taputapu,SLOSHING,iconic,trial,SLOSHING|SPLASHING,husyi|wuwi|yuyi,TRUE,NA,NA,miwi|wiri|yiyi
noroi,SLOW,iconic,trial,SLOW,syehea|kekyea|hekea,TRUE,NA,NA,pyeQkea|weQpea|hepyea
toroi,SLOW,iconic,trial,SLOW,hehea|wekyea|yekea,TRUE,NA,NA,wepyea|yeQkea|meQpea
dayai,SLUGGISH,iconic,trial,SLUGGISH|LETHARGIC,wutua|yutyua|hutsua,TRUE,NA,NA,huQpua|wutsua|QduQdua
naNgii,SLUGGISH,iconic,trial,SLUGGISH|LETHARGIC,syuQra|kuQsa|huQtya,TRUE,NA,NA,yuQru|wuQhu|pyuQwu
komai,SMALL,iconic,trial,SMALL|LITTLE|TINY,netyua|zesua|resyua,TRUE,NA,NA,weyua|rehua|neQnua
nikoniko,SMILING,iconic,trial,GRINNING|SMILING,syane|kaze|hare,TRUE,NA,NA,Qnane|hare|pyawe
yarakai,SOFT,iconic,trial,SOFT|SQUISHY,tuhunua|tyukyuzua|tsukurua,TRUE,NA,NA,tyuQnunua|QtuQpurua|QpupQpuwua
sui,SOUR,iconic,trial,SOUR|ACIDIC,kia|mia|gia,TRUE,NA,NA,Qgia|yia|wia
syibui,SOUR,iconic,trial,SOUR|ACIDIC,ratyia|nahia|masyia,TRUE,NA,NA,wawia|Qgaria|yayia
karai,SPICY,iconic,trial,SPICY,nuhua|zukyua|rukua,TRUE,NA,NA,ruQrua|nupyua|wuQpua
haku,SPIT,iconic,trial,SPIT|VOMIT,nuni|dzuzi|zyuri,TRUE,NA,NA,wiwi|niri|Qgini
syibasyiba,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",ratyu|nahu|masyu,TRUE,NA,NA,Qgawu|waru|yayu
syobosyobo,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",retye|nehe|mesye,TRUE,NA,NA,Qgeye|were|yewe
zyikazyika,STINGING (PAIN),iconic,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",manu|wazu|haru,TRUE,NA,NA,yawu|pyaru|wanu
iQpai,STUFFED (FULL OF FOOD),iconic,trial,STUFFED (from eating too much)|FULL (from eating),asyua|awua|ayua,TRUE,NA,NA,awua|arua|ayua
amai,SWEET,iconic,trial,SWEET,utyua|usua|usyua,TRUE,NA,NA,uQkua|uhua|uyua
futoi,THICK,iconic,trial,THICK|FAT,rihea|giwea|niyea,TRUE,NA,NA,Qgiyea|riwea|yimea
komaka,THIN,iconic,trial,THIN|SLENDER,netyunu|zesuzu|resyuru,TRUE,NA,NA,rehuru|weyuwu|neQnunu
zukizuki,THROBBING,iconic,trial,THROBBING|PULSATING,gina|kyiza|kira,TRUE,NA,NA,pyiwa|wina|Qrira
zuNzuN,THROBBING,iconic,trial,THROBBING|PULSATING,giQ|kyiQ|kiQ,TRUE,NA,NA,pyiQ|wiQ|QkiQ
kibui,TIGHT,iconic,trial,TIGHT|PINCHING,natyia|zahia|rasyia,TRUE,NA,NA,wayia|rawia|naria
pityipityi,TIGHT,iconic,trial,TIGHT|PINCHING,syawa|waya|yaga,TRUE,NA,NA,waya|yawa|rara
tyiisoo,TIGHT,iconic,trial,TIGHT|PINCHING,wake|yame|gage,TRUE,NA,NA,rawe|waQge|yaye
hirihiri,TINGLING,iconic,trial,BURNING|TINGLING,naha|dzakya|zyaka,TRUE,NA,NA,naQpa|Qgapya|waQka
nukui,WARM,iconic,trial,WARM,syinia|kizia|hiria,TRUE,NA,NA,yiria|pyinia|wiwia
pokapoka,WARM,iconic,trial,WARM,syenu|wezu|yeru,TRUE,NA,NA,yeru|renu|wewu
usui,WEAK,iconic,trial,BLAND (taste)|TASTELESS|WATERY (taste),ikia|imia|igia,TRUE,NA,NA,iQgia|iyia|iwia
nureru,WET,iconic,trial,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki,TRUE,NA,NA,QkiQpoQpi|wiQkoQki|yipyopyi
syimeQpoi,WET,iconic,trial,WET|SOGGY|DAMP,ratyosyea|nasowea|masyoyea,TRUE,NA,NA,Qgayewea|waQkerea|yaheyea
syiQketoru,WET,iconic,trial,WET|SOGGY|DAMP,ranohehi|nazowekyi|maroyeki,TRUE,NA,NA,waQkeyeQki|Qgawemepyi|yaneweQpi
syitosyito,WET,iconic,trial,WET|SOGGY|DAMP,rahe|nawe|maye,TRUE,NA,NA,Qgaye|wawe|yame
ookii,ROUGH,prosaic,trial,ROUGH|GRITTY|COARSE,ena|eza|era,TRUE,NA,NA,ena|era|ewa
sukosyi,A LITTLE,prosaic,trial,A LITTLE|SLIGHTLY,kinera|mizena|girema,TRUE,NA,NA,wirewa|yineya|QgiweQga
