form,eng_trans,iconic,item,meaning,old_foil,goodone,done,notes,foils
zomizomi,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),getya|kyesa|kesya,TRUE,NA,NA,weya|pyeQka|Qkeha
tyobiQto,A LITTLE,y,trial,A LITTLE|SLIGHTLY,NA,TRUE,NA,NA,reyame|wewawe|yeraye
tyoQto,A LITTLE,y,trial,A LITTLE|SLIGHTLY,wehe|yewe|geye,TRUE,NA,NA,reye|yewe|weme
iraira,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,ahu|akyu|aku,TRUE,NA,NA,apyu|aQku|aQpu
yaNdagunaruQ,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ,TRUE,NA,NA,tsuQwuripyuQpiN|tyuQhuhiwupyiN|QpuQyuwiQkuQkiN
futoi,BIG,y,trial,BIG|MASSIVE|LARGE|HUGE,rihea|giwea|niyea,TRUE,NA,NA,riyea|yimea|niwea
nigai,BITTER,y,trial,BITTER|ACRID,syarua|kasua|hatyua,TRUE,NA,NA,yarua|hahua|wawua
haQkiri,CLEAR,y,trial,CLEAR|REFRESHED,nunaha|dzuzakya|zyuraka,TRUE,NA,NA,wuwaQpa|Qgurapya|runaQka
suQkiri,CLEAR,y,trial,CLEAR|REFRESHED,kinaha|mizakya|giraka,TRUE,NA,NA,QgiwaQka|yinapya|wiraQpa
syakiQ,CLEAR,y,trial,CLEAR|REFRESHED,runaN|nuzaN|muraN,TRUE,NA,NA,wunaN|QguwaN|yuraN
syaN,CLEAR,y,trial,CLEAR|REFRESHED,ruQ|nuQ|muQ,TRUE,NA,NA,QguQ|yuQ|wuQ
hieQda,COLD (WEATHER),y,trial,COLD|CHILLY,naowu|dzaoyu|zyaohu,TRUE,NA,NA,waoyu|naohu|Qgaowu
kiNkiN,COLD TO TOUCH,y,trial,COLD|CHILLY,naQ|zaQ|raQ,TRUE,NA,NA,raQ|waQ|naQ
syaQkoi,COLD TO TOUCH,y,trial,COLD|CHILLY,runea|nuzea|murea,TRUE,NA,NA,wunea|Qguwea|yurea
kirikiri,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),naha|zakya|raka,TRUE,NA,NA,waQpa|naQka|rapya
syikusyiku,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),rani|nazi|mari,TRUE,NA,NA,Qgani|yawi|wari
zurui,CUNNING,y,trial,CUNNING|SLY|SNEAKY,gihia|kyikyia|kikia,TRUE,NA,NA,wiQkia|pyiQpia|Qkipyia
dayai,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,wutua|yutyua|hutsua,TRUE,NA,NA,yuQtua|wuQpua|hutua
guQtari,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,rihuha|siwukya|tyiyuka,TRUE,NA,NA,himuQpa|riyuQka|wiwupya
hoQkori,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,neneha|dzezekya|zyereka,TRUE,NA,NA,QgereQka|reweQpa|nenepya
syiNdo,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,raQwe|naQye|maQhe,TRUE,NA,NA,QgaQye|yaQhe|waQwe
hayai,FAST,y,trial,FAST|QUICK|SPEEDY,nutua|dzutyua|zyutsua,TRUE,NA,NA,wuQpua|Qgutua|ruQdua
syimiru,FREEZE,y,trial,FREEZE,ratyahi|nasakyi|masyaki,TRUE,NA,NA,QgaQkapyi|wahaQpi|yayaQki
katyikatyi,HARD,y,trial,HARD,nuwa|zuya|ruga,TRUE,NA,NA,wuwa|nuya|rura
omoi,HEAVY,y,trial,HEAVY,etyea|esea|esyea,TRUE,NA,NA,eQkea|ehea|eyea
atsui,HOT,y,trial,HOT,uhia|uwia|uyia,TRUE,NA,NA,uwia|uQgia|uyia
nuQka,HOT,y,trial,HOT,syinu|kizu|hiru,TRUE,NA,NA,Qkinu|hiru|yiwu
hotoru,HUMID,y,trial,HUMID|MUGGY,nehehi|dzewekyi|zyeyeki,TRUE,NA,NA,neyeQpi|wemepyi|QgeweQki
zyitozyito,HUMID,y,trial,HUMID|MUGGY,mahe|wawe|haye,TRUE,NA,NA,wame|rawe|pyaye
syikasyika,ITCHING,y,trial,ITCHING|PRICKLING,ranu|nazu|maru,TRUE,NA,NA,yanu|Qgaru|wawu
nagai,LONG,y,trial,LONG,syurua|kusua|hutyua,TRUE,NA,NA,huwua|Qkurua|pyuhua
nurui,LUKEWARM,y,trial,LUKEWARM,syihia|kikyia|hikia,TRUE,NA,NA,yiQkia|hiQpia|pyipyia
ookii,NOISY,y,trial,LOUD|NOISY,ena|eza|era,TRUE,NA,NA,era|ena|ewa
urusai,NOISY,y,trial,LOUD|NOISY,ihikua|ikyimua|ikigua,TRUE,NA,NA,ipyiwua|iQkiyua|iQpiQgua
zyukuzyuku,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mini|wizi|hiri,TRUE,NA,NA,wiwi|yiri|pyini
zyuruzyuru,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),mihi|wikyi|hiki,TRUE,NA,NA,wiQpi|pyiQki|yipyi
bakubaku,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),tyuni|huzi|syuri,TRUE,NA,NA,runi|wuri|yuwi
dokidoki,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),wena|yeza|hera,TRUE,NA,NA,hewa|wera|yena
toNtoN,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),heQ|weQ|yeQ,TRUE,NA,NA,yeQ|weQ|meQ
hirihiri,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,naha|dzakya|zyaka,TRUE,NA,NA,rapya|waQpa|naQka
tyikatyika,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,wanu|yazu|garu,TRUE,NA,NA,wanu|raru|yawu
syiiN,QUIET,y,trial,QUIET,raQ|naQ|maQ,TRUE,NA,NA,yaQ|QgaQ|waQ
tataku,RAP (AT THE DOOR),y,trial,RAP (at the door)|KNOCK (at the door),huhuni|wuwuzi|yuyuri,TRUE,NA,NA,wumuri|muwuwi|yuyuni
zaQkuzaQku,ROUGH,y,trial,ROUGH|GRITTY|COARSE,guni|kyuzi|kuri,TRUE,NA,NA,wuni|Qkuwi|pyuri
zyarizyari,ROUGH,y,trial,ROUGH|GRITTY|COARSE,muha|wukya|huka,TRUE,NA,NA,rupya|wuQpa|pyuQka
zyasyizyasyi,ROUGH,y,trial,ROUGH|GRITTY|COARSE,mura|wuna|huma,TRUE,NA,NA,pyuQga|wuwa|ruya
marui,ROUND,y,trial,ROUND|CIRCULAR,tyuhia|sukyia|syukia,TRUE,NA,NA,Qkupyia|huQpia|yuQkia
adzu,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,uwi|uyi|uhi,TRUE,NA,NA,uyi|uwi|upyi
atsukamasyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,uhinutyura|uwizusuna|uyirusyuma,TRUE,NA,NA,uyiruyuya|uQgiwuQkuQga|uwinuhuwa
zuuzuusyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima,TRUE,NA,NA,wiQkiya|QkiwiQga|pyipyiwa
samisyii,SAD,y,trial,SAD|GLUM,kutyara|musana|gusyama,TRUE,NA,NA,Qguyawa|wuQkaQga|yuhaya
kowa,SCARY,y,trial,SCARY|FRIGHTENING,nezyu|zetyu|retsu,TRUE,NA,NA,wetyu|reQtu|netu
zyizyimusai,SHABBY,y,trial,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua,TRUE,NA,NA,wapyaQkiQgua|rawahiyua|yarayiwua
buruburu,SHAKING,y,trial,SHAKING|TREMBLING,tyihi|hikyi|syiki,TRUE,NA,NA,yiQki|wipyi|riQpi
gatagata,SHAKING,y,trial,SHAKING|TREMBLING,ruhu|suwu|tyuyu,TRUE,NA,NA,wuwu|huyu|rumu
nebutai,SLEEPY,y,trial,SLEEPY|DROWSY,syotyihua|kohiwua|hosyiyua,TRUE,NA,NA,Qkoyimua|woriyua|pyowiwua
tsurutsuru,SLICK,y,trial,SLIPPERY|SMOOTH,hihi|wikyi|yiki,TRUE,NA,NA,yiQpi|wiQki|Qgipyi
taputapu,SLOSHING,y,trial,SLOSHING|SPLASHING,husyi|wuwi|yuyi,TRUE,NA,NA,muwi|yuri|wuyi
noroi,SLOW,y,trial,SLOW,syehea|kekyea|hekea,TRUE,NA,NA,Qkepyea|weQkea|heQpea
toroi,SLOW,y,trial,SLOW,hehea|wekyea|yekea,TRUE,NA,NA,yeQkea|wepyea|meQpea
dayai,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,wutua|yutyua|hutsua,TRUE,NA,NA,hutyua|yuQpua|wuQtua
naNgii,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,syuQra|kuQsa|huQtya,TRUE,NA,NA,yuQra|huQha|wuQwa
komai,SMALL,y,trial,SMALL|LITTLE|TINY,netyua|zesua|resyua,TRUE,NA,NA,wehua|neyua|reQkua
nikoniko,SMILING,y,trial,GRINNING|SMILING,syane|kaze|hare,TRUE,NA,NA,Qkane|wawe|pyare
yarakai,SOFT,y,trial,SOFT|SQUISHY,tuhunua|tyukyuzua|tsukurua,TRUE,NA,NA,Qtupyurua|QduQkuwua|tsuQpunua
sui,SOUR,y,trial,SOUR|ACIDIC,kia|mia|gia,TRUE,NA,NA,yia|Qgia|wia
syibui,SOUR,y,trial,SOUR|ACIDIC,ratyia|nahia|masyia,TRUE,NA,NA,yayia|Qgaria|wawia
karai,SPICY,y,trial,SPICY,nuhua|zukyua|rukua,TRUE,NA,NA,ruQpua|wupyua|nuQkua
haku,SPIT,y,trial,SPIT|VOMIT,nuni|dzuzi|zyuri,TRUE,NA,NA,ruwi|wuri|Qguni
syibasyiba,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",ratyu|nahu|masyu,TRUE,NA,NA,Qgawu|yaru|wayu
syobosyobo,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",retye|nehe|mesye,TRUE,NA,NA,Qgewe|yere|weye
zyikazyika,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",manu|wazu|haru,TRUE,NA,NA,raru|yanu|pyawu
iQpai,STUFFED (FULL OF FOOD),y,trial,STUFFED (from eating too much)|FULL (from eating),asyua|awua|ayua,TRUE,NA,NA,awua|ayua|arua
amai,SWEET,y,trial,SWEET,utyua|usua|usyua,TRUE,NA,NA,uyua|uQkua|uhua
futoi,THICK,y,trial,THICK|FAT,rihea|giwea|niyea,TRUE,NA,NA,riwea|yimea|wiyea
komaka,THIN,y,trial,THIN|SLENDER,netyunu|zesuzu|resyuru,TRUE,NA,NA,weQkunu|reyuru|nehuwu
zukizuki,THROBBING,y,trial,THROBBING|PULSATING,gina|kyiza|kira,TRUE,NA,NA,wiwa|Qkina|pyira
zuNzuN,THROBBING,y,trial,THROBBING|PULSATING,giQ|kyiQ|kiQ,TRUE,NA,NA,pyiQ|QkiQ|wiQ
kibui,TIGHT,y,trial,TIGHT|PINCHING,natyia|zahia|rasyia,TRUE,NA,NA,nawia|wayia|raria
pityipityi,TIGHT,y,trial,TIGHT|PINCHING,syawa|waya|yaga,TRUE,NA,NA,waya|yara|rawa
tyiisoo,TIGHT,y,trial,TIGHT|PINCHING,wake|yame|gage,TRUE,NA,NA,waQge|yaye|rawe
hirihiri,TINGLING,y,trial,BURNING|TINGLING,naha|dzakya|zyaka,TRUE,NA,NA,QgaQka|napya|waQpa
nukui,WARM,y,trial,WARM,syinia|kizia|hiria,TRUE,NA,NA,yinia|pyiwia|hiria
pokapoka,WARM,y,trial,WARM,syenu|wezu|yeru,TRUE,NA,NA,yeru|rewu|wenu
usui,WEAK,y,trial,BLAND (taste)|TASTELESS|WATERY (taste),ikia|imia|igia,TRUE,NA,NA,iyia|iwia|iQgia
nureru,WET,y,trial,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki,TRUE,NA,NA,pyipyopyi|QkiQkoQki|yiQpoQpi
syimeQpoi,WET,y,trial,WET|SOGGY|DAMP,ratyosyea|nasowea|masyoyea,TRUE,NA,NA,yahowea|waQkoyea|Qgayorea
syiQketoru,WET,y,trial,WET|SOGGY|DAMP,ranohehi|nazowekyi|maroyeki,TRUE,NA,NA,wawoweQpi|QgaroyeQki|yanomepyi
syitosyito,WET,y,trial,WET|SOGGY|DAMP,rahe|nawe|maye,TRUE,NA,NA,yawe|waye|Qgame
ookii,ROUGH,n,trial,ROUGH|GRITTY|COARSE,ena|eza|era,TRUE,NA,NA,ena|ewa|era
