ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
gʲ	-	+	-	-	-	-	-	-	+	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
kʲ	-	+	-	-	-	-	-	-	+	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
kʼ	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	+	0	0	+
k̟	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k̠	-	+	-	-	-	-	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
kʰ	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	+	-	0	0	+
kp	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	+	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k͡p	-	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	+	-	+	0	0	0	-	-	-	-	-	-	0	0	+
kx	-	+	-	-	-	+	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k͡x	-	+	-	-	-	+	-	-	0	0	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k̟x̟	-	+	-	-	-	+	-	-	+	-	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
k̠x̠	-	+	-	-	-	+	-	-	-	+	+	-	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
