experiment,trial,item_type,form,meaning
6,2,practice,fuwafuwa,FLUFFY
6,3,trial,zaQkuzaQku,ROUGH|GRITTY|COARSE
6,4,trial,tyikatyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
6,5,trial,adzu,RUDE|ARROGANT|BRAZEN
6,6,trial,motyokoi,TICKLING
6,7,trial,uzyauzya,SHAKING|TREMBLING
6,8,trial,tyikatyika,PRICKLING|TINGLING
6,9,trial,yawarakai,SOFT|SQUISHY
6,10,trial,tsumetee,COLD|CHILLY
6,11,trial,hiratai,FLAT|SMOOTH
6,12,trial,futoi,ROUGH|GRITTY|COARSE
6,13,trial,komaNka,TIGHT|PINCHING
6,14,control,katai,HARD
6,15,control,pyoNpyoN,BOUNCING|HOPPING
6,16,control,hisohiso,WHISPERING
7,1,practice,yoroyoro,WOBBLING
7,2,practice,fuwafuwa,FLUFFY
7,3,trial,tyoQto,A LITTLE|SLIGHTLY
7,4,trial,yakamasyii,LOUD|NOISY
7,5,trial,koQsui,CUNNING|SLY|SNEAKY
7,6,trial,zyimezyime,HUMID|MUGGY
7,7,trial,nikoniko,GRINNING|SMILING
7,8,trial,hiyaQkoi,COOL|FRESH
7,9,trial,nurunuru,SLIMY|SLIPPERY|SLICK
7,10,trial,koe,SLUGGISH|LETHARGIC
7,11,trial,kukuru,BIND|TIGHTEN
7,12,trial,naku,CRY|WAIL
7,13,trial,kawaku,DRY|PARCHED
7,14,control,katai,HARD
7,15,control,pyoNpyoN,BOUNCING|HOPPING
7,16,control,hisohiso,WHISPERING
8,1,practice,yoroyoro,WOBBLING
8,2,practice,fuwafuwa,FLUFFY
8,3,trial,kirikiri,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach)
8,4,trial,kutakuta,EXHAUSTED|TIRED|WEARY
8,5,trial,semai,CRAMPED|TIGHT
8,6,trial,nebutai,SLEEPY|DROWSY
8,7,trial,tyiisoo,TIGHT|PINCHING
8,8,trial,kurai,DARK|DIM
8,9,trial,yaQkoi,SOFT|SQUISHY
8,10,trial,hagai,ANNOYED|IMPATIENT
8,11,trial,erai,EXHAUSTED|TIRED|WEARY
8,12,trial,nomeQkoi,SLIPPERY|SMOOTH
8,13,trial,iteru,FREEZE
8,14,control,katai,HARD
8,15,control,pyoNpyoN,BOUNCING|HOPPING
8,16,control,hisohiso,WHISPERING
9,1,practice,yoroyoro,WOBBLING
9,2,practice,fuwafuwa,FLUFFY
9,3,trial,dokidoki,POUNDING (e.g. headache)|THROBBING (e.g. headache)
9,4,trial,kutyii,STUFFED (from eating too much)|FULL (from eating)
9,5,trial,kiiN,RINGING (e.g. a ringing sound in your ears)
9,6,trial,iraira,SCRATCHY
9,7,trial,gutyugutyu,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
9,8,trial,tyiNtye,THIN|SLENDER
