experiment,trial,item_type,form,meaning
5,12,trial,otorosyii,SCARY|FRIGHTENING
5,13,trial,kusuguQtee,TICKLING
5,14,control,katai,HARD
5,15,control,pyoNpyoN,BOUNCING|HOPPING
5,16,control,hisohiso,WHISPERING
6,1,practice,yoroyoro,WOBBLING
6,2,practice,fuwafuwa,FLUFFY
6,3,trial,saQpari,CLEAR|REFRESHED
6,4,trial,zaQkuzaQku,ROUGH|GRITTY|COARSE
6,5,trial,dayai,SLUGGISH|LETHARGIC
6,6,trial,semai,CRAMPED|TIGHT
6,7,trial,tyikatyika,PRICKLING|TINGLING
6,8,trial,syiQketoru,WET|SOGGY|DAMP
6,9,trial,syaNsyaN,LIVELY|ENERGETIC
6,10,trial,omosyaiN,GLAD|HAPPY
6,11,trial,mabaii,GLARING (light)|BLINDING (light)
6,12,trial,mizukusai,BLAND (taste)|TASTELESS|WATERY (taste)
6,13,trial,hidarui,HUNGRY|STARVING
6,14,control,katai,HARD
6,15,control,pyoNpyoN,BOUNCING|HOPPING
6,16,control,hisohiso,WHISPERING
7,1,practice,yoroyoro,WOBBLING
7,2,practice,fuwafuwa,FLUFFY
7,3,trial,kiiN,RINGING (e.g. a ringing sound in your ears)
7,4,trial,buruburu,SHAKING|TREMBLING
7,5,trial,syitosyito,WET|SOGGY|DAMP
7,6,trial,komaka,THIN|SLENDER
7,7,trial,fuku,BLOW|PUFF
7,8,trial,naGai,LONG
7,9,trial,moyamoya,FUZZY|BLURRY|HAZY
7,10,trial,nomeQkoi,SLIPPERY|SMOOTH
7,11,trial,ikiru,HUMID|MUGGY
7,12,trial,sekarasyika,LOUD|NOISY
7,13,trial,kanasyii,SAD|GLUM
7,14,control,katai,HARD
7,15,control,pyoNpyoN,BOUNCING|HOPPING
7,16,control,hisohiso,WHISPERING
8,1,practice,yoroyoro,WOBBLING
8,2,practice,fuwafuwa,FLUFFY
8,3,trial,kyuukutsuka,TIGHT|PINCHING
8,4,trial,zyikuzyiku,HUMID|MUGGY
8,5,trial,dayai,EXHAUSTED|TIRED|WEARY
8,6,trial,iQpai,STUFFED (from eating too much)|FULL (from eating)
8,7,trial,uzyauzya,SHAKING|TREMBLING
8,8,trial,zyasyizyasyi,ROUGH|GRITTY|COARSE
8,9,trial,zyizyimusai,SCRUFFY|TATTY|RAGGEDY
8,10,trial,kawaku,DRY|PARCHED
8,11,trial,kogoru,FREEZE
8,12,trial,miQtomonai,SCRUFFY|TATTY|RAGGEDY
8,13,trial,kakazyiru,SCRATCH
8,14,control,katai,HARD
8,15,control,pyoNpyoN,BOUNCING|HOPPING
8,16,control,hisohiso,WHISPERING
9,1,practice,yoroyoro,WOBBLING
9,2,practice,fuwafuwa,FLUFFY
9,3,trial,hirihiri,PRICKLING|TINGLING
9,4,trial,taputapu,SLOSHING|SPLASHING
9,5,trial,biQto,A LITTLE|SLIGHTLY
9,6,trial,koQsui,CUNNING|SLY|SNEAKY
9,7,trial,zyarizyari,ROUGH|GRITTY|COARSE
9,8,trial,sui,SOUR|ACIDIC
9,9,trial,hirihiri,THROBBING|PULSATING
9,10,trial,hizurasyii,GLARING (light)|BLINDING (light)
9,11,trial,koenee,EXHAUSTED|TIRED|WEARY
9,12,trial,tagee,LOUD|NOISY
9,13,trial,kosui,CUNNING|SLY|SNEAKY
9,14,control,katai,HARD
9,15,control,pyoNpyoN,BOUNCING|HOPPING
