experiment,trial,item_type,form,meaning
6,4,trial,zyikazyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
6,5,trial,zuQkoi,CUNNING|SLY|SNEAKY
6,6,trial,nebutai,SLEEPY|DROWSY
6,7,trial,saQpari,CLEAN|TIDY
6,8,trial,tsurutsuru,SLIPPERY|SMOOTH
6,9,trial,sukoi,CUNNING|SLY|SNEAKY
6,10,trial,syetsu,EXHAUSTED|TIRED|WEARY
6,11,trial,oodoona,RUDE|ARROGANT|BRAZEN
6,12,trial,mutsugoi,OILY/HEAVY (food)
6,13,trial,tsukareta,EXHAUSTED|TIRED|WEARY
6,14,control,katai,HARD
6,15,control,pyoNpyoN,BOUNCING|HOPPING
6,16,control,hisohiso,WHISPERING
7,1,practice,yoroyoro,WOBBLING
7,2,practice,fuwafuwa,FLUFFY
7,3,trial,hiyaQkoi,COOL|FRESH
7,4,trial,sui,SOUR|ACIDIC
7,5,trial,syizukaya,QUIET
7,6,trial,syibityoo,COLD|CHILLY
7,7,trial,kurai,DARK|DIM
7,8,trial,mabusyii,GLARING (light)|BLINDING (light)|DAZZLING
7,9,trial,netyinetyi,CLINGY
7,10,trial,gomeku,CRY|WAIL
7,11,trial,karui,LIGHT|AIRY
7,12,trial,narui,FLAT|SMOOTH
7,13,trial,tsumetee,COLD|CHILLY
7,14,control,katai,HARD
7,15,control,pyoNpyoN,BOUNCING|HOPPING
7,16,control,hisohiso,WHISPERING
8,1,practice,yoroyoro,WOBBLING
8,2,practice,fuwafuwa,FLUFFY
8,3,trial,zyuruzyuru,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
8,4,trial,kiNkiN,COLD|CHILLY
8,5,trial,tsuuN,RINGING (e.g. a ringing sound in your ears)
8,6,trial,pityipityi,TIGHT|PINCHING
8,7,trial,zyukuzyuku,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
8,8,trial,iQpai,STUFFED (from eating too much)|FULL (from eating)
8,9,trial,paNpaN,STUFFED (from eating too much)|FULL (from eating)
8,10,trial,osorosyii,SCARY|FRIGHTENING
8,11,trial,amai,BLAND (taste)|TASTELESS|WATERY (taste)
8,12,trial,koe,SLUGGISH|LETHARGIC
8,13,trial,hasyikai,PRICKLING|TINGLING
8,14,control,katai,HARD
8,15,control,pyoNpyoN,BOUNCING|HOPPING
8,16,control,hisohiso,WHISPERING
9,1,practice,yoroyoro,WOBBLING
9,2,practice,fuwafuwa,FLUFFY
9,3,trial,syaN,CLEAR|REFRESHED
9,4,trial,usui,BLAND (taste)|TASTELESS|WATERY (taste)
9,5,trial,guNnari,EXHAUSTED|TIRED|WEARY
9,6,trial,iraira,SCRATCHY
9,7,trial,zyarizyari,ROUGH|GRITTY|COARSE
9,8,trial,ookii,LOUD|NOISY
